DATE READ,FILE,WRITTEN LABEL,PUNCHED LABEL,DESCRIPTION,SOURCE
23/03/2012,903ALG16KLP(190480),903 ALGOL 16K LP 19/4/80,,,TNMOC
23/03/2012,903FORTTAPE1(ISS4C),903 FORTRAN TAPE 1 ISSUE 4C,,,TMNOC
23/03/2012,903FORTTAPE1(ISS4C),903 FORTRAN TAPE 1 ISSUE 4C,,,TMNOC
23/03/2012,903FORTTAPE2(ISS4A),903 FORTRAN TAPE 2 ISSUE 4A,,,TNMOC
18/04/2012,903X2(ISS1),903 X2 ISS 1,903 X2 ISSUE 1,X2,DGNH
18/04/2012,903X2B,903 X2B,903 X2B,X2,DGNH
18/04/2012,903X3(ISS4),903 X3 ISS 4,903 X3 ISS 4,,DGNH
18/04/2012,903X4(ISS3),903 X4 ISS 3,???,,DGNH
18/04/2012,903X50(ISS2),903 X50 ISS 2,903 X50 ISSUE 2,,DGNH
18/04/2012,903X51(ISS1),903 X51 ISS 1,903 X51 ISSUE 1,,DGNH
18/04/2012,903X6(ISS3),903 X6 ISS 3,903 X6 ISS3,,DGNH
18/04/2012,903X8(ISS3),903 X8 ISS 3,???,,DGNH
18/04/2012,905FORT(ISS6),905 FORTRAN COMPILER ISS 6,,905 FORTRAN COMPILER ISSUE 6,DGNH
18/04/2012,905FORTLIB1(ISS4),905 FORTRAN LIBRARY VOL 1 ISS 4 RLB,,905 FORTRAN LIBRARY VOL. 1 ISSUE 4,DGNH
18/04/2012,905FORTLIB2(ISS5),905 FORTRAN LIBRARY VOL 2 iSS 5 RLB,,905 FORTRAN LIBRARY VOL. 2 ISSUE 5,DGNH
15/02/2013,905FORTRAN(ISS7),905 FORTRAN COMPILE SCB ISS 7 (CARE! WE HAVE FOUND BUGS IN THIS ONE RECOMMEND ISSUE 6),,,DGNH
20/12/2011,920AALG1,920A ALGOL TAPE 1,,,TNMOC
20/12/2011,920AALG3,920A ALGOL LIBRARY,,,TNMOC
20/12/2011,920ALG2,920 ALGOL TAPE 2,,,TNMOC
20/12/2011,920ASIR,920A SIR ASSEMBLER,SIR ASSEMBLER 2/6/66,920A SIR ASSEMBLER,TNMOC
18/04/2012,920X10,920 X10,920 X 10 MODE 3,,DGNH
30/06/2012,ALG1(ISS6)(SRC2),ALGOL TRANSLATOR SOURCE ISSUE 6 TAPE 2 OF 4 COPIED 25 JUN 1976,,,DGNH
30/06/2012,ALG1(ISS6)(SRC3),ALGOL TRANSLATOR SOURCE ISSUE 6 TAPE 3 OF 4 COPIED 25 JUN 1976,,,DGNH
30/06/2012,ALG1(ISS6)(SRC4),ALGOL TRANSLATOR SOURCE ISSUE 6 TAPE 4 OF 4 COPIED 25 JUN 1976,,,DGNH
30/06/2012,ALG1(ISS6)SRC1),ALGOL TRANSLATOR SOURCE ISSUE 6 TAPE 1 OF 4 COPIED 25 JUN 1976,,,DGNH
10/12/2011,ALG1(ISS6F),903 ALGOL 1 ISSUE 6F 5/5/78,,903 ALGOL TRANSLATOR,DNGH
10/12/2011,ALG16KLG(ISS6),903 ALGOL ISS 6 16K LG VERSION 22 NOV 84,,903 ALGOL 16K LOAD AND GO VERSION,DNGH
10/12/2011,ALG16KLP(ISS5),903 ALGOL TAPE 2 16K LP ISSUE 5,903 ALGOL TAPE2 16K (LP) ISS5,903 ALGOL 16K LARGE PROGRAM VERSION,DNGH
23/03/2012,ALG1ISS6PAT,903 ALGOL ISSUE 6 PATCH FOR TAPE 1,,,TNMOC
10/12/2011,ALG1P301276,ALGOL TAPE 1 AS PATCHED BY 30 DEC 1976 PATCH,,903 ALGOL TRANSLATOR (D HUNTER),DNGH
01/07/2012,ALG2PATCHREWORK,MAY 1980 patch reworked for 8K system TAPE 2 part 15 OCT 1983,,,DGNH
15/02/2013,ALG2(ISS6)(COMPACT)(SRC1),Compact Issue 6 Algol Interpreter Source Text 18 April 1975 Tape 1 of 2,,,DGNH
