DATE READ,FILE,WRITTEN LABEL,PUNCHED LABEL,DESCRIPTION,SOURCE
24/04/15,THIMBLEBY_T1,Unlabelled,,905 Disc Patcher 1/4/77,HT
24/04/15,THIMBLEBY_T2,15/6/76? E/- mina,,Not Elliott,HT
24/04/15,THIMBLEBY_T3,ML/I IN (GPM) LOWL (3),,ML/1 LOWL as GPM macros,HT
24/04/15,THIMBLEBY_T4,Saved MLI source 17 Nov 76,,,HT
24/04/15,THIMBLEBY_T5,Unlabelled,,,HT
24/04/15,THIMBLEBY_T6,old version enter at 16 run at 32,,L-Game source,HT
24/04/15,THIMBLEBY_T7,DISC PATCHER SOURCE 28/3/77,,905 Disc Patcher 28/3/77,HT
24/04/15,THIMBLEBY_T8,CO4 27.2.76 FIRST,,Test of GPM LOWL macros,HT
24/04/15,THIMBLEBY_T9,Rados disc IO routines,,,HT
24/04/15,THIMBLEBY_T10,CUR016 30/3/76 18.40 Algebra,,Algebra source,HT
24/04/15,THIMBLEBY_T11,GPM,,GPM Source,HT
24/04/15,THIMBLEBY_T12,9/76 MLI TESTS,,ML/I Tests,HT
