DATE READ,FILE,WRITTEN LABEL,PUNCHED LABEL,DESCRIPTION,SOURCE
19/06/2015,ALGOL3,ALGOL 3,,,
19/06/2015,EX4INPUT,CHRIS EX 4 SIR INPUT TABLE  - in middle of tape: INPUT DATA,,,
19/06/2015,EX4,,,Possibly program of EX4?,
19/06/2015,SIR1,SIR PROG NO 1,,,
19/06/2015,SIR1DATA,"DATA FROM PROG 1 SIR - 5,5,15",,,
19/06/2015,SIR2,2,,,
19/06/2015,SIR2DATA1,"DATA 186,37,98,19",,,
19/06/2015,SIR2DATA2,DATA SIR NO. 2. 49,,,
19/06/2015,ALGOL7,ALGOL No. 7,,,
19/06/2015,TSK1DATA,TSK1 DATA,,,
19/06/2015,TSK1,TSK1,,Cobol!,
19/06/2015,PRACT4,Chris Yates ALGOL PRACT4,,,
,PRACT4DATA,Test Data Pract4,,,
,SIR2_2,SIR No. 2,,,
,SIR2DATA3,96,,,
,PRACT4_2,PRACT4 ALGOL4,,,
,PRACT4DATA_2,,,,
